seller_id,total_orders,cancellation_rate_percent,avg_review_score,risk_score
6ee85be3693ed79a8e80718743d80655,13,38.46154,1.9231,6
b1b3948701c5c72445495bd161b83a4c,18,11.11111,1.7222,6
a4b6b9b992b46e9ef863637af96e04bc,14,42.85714,2.5714,5
81783131d2a97c8d44d406a4be81b5d9,15,40.00000,3.4286,5
4e8dacf3d38f281ae26c3e0321d92d88,15,33.33333,2.4667,5
ffff564a4f9085cd26170f4732393726,20,20.00000,2.1000,5
20b54c376b794ed028df09a3cd88e8dc,11,18.18182,3.0000,5
ec4608a1f76453166bb312b2968aeaf4,35,17.14286,2.6857,5
2e3be8a987a30d7544dbbda6861cc14e,19,15.78947,3.0526,5
4c8b8048e33af2bf94f2eb547746a916,27,14.81481,3.1111,5
973f21788dfab357250f69a8dcb7ddee,21,9.52381,2.3333,4
c7fdb77fdbff3c41981bc52f787e959e,12,8.33333,3.3333,4
2f09f7d37a97956d11cc1a7cadd5262b,12,8.33333,3.0833,4
bc47d5d1490df2b36add65d733eafaba,25,8.00000,3.2800,4
5b581417df4480f632484ba681e53944,13,7.69231,3.3077,4
87b740daf17b5d1be335a64164ec6842,13,7.69231,3.3077,4
c9a06ece156bb057372c68718ec8909b,14,7.14286,3.0000,4
557f22c76691849db52d2abccf0015d0,14,7.14286,3.1538,4
ecccfa2bb93b34a3bf033cc5d1dcdc69,19,5.26316,2.3333,4
1b8b75e227c9a9c100d0c210fb6176ce,19,5.26316,3.3684,4
f1c1ac3f3efc07e659c035008e615e66,14,35.71429,3.5714,3
ea6b12bf9ffe2bac34602ec631d97a47,11,18.18182,4.0909,3
7bcd7c5f8631701474db233ccf1c094b,11,18.18182,3.6364,3
e627629ba868740e287800f1a9be81c2,13,15.38462,4.4615,3
a2deecd5398f5df4987110c80a1972a3,16,12.50000,3.7059,3
73a63f72308aa20a46f4b1632018f196,41,12.19512,4.0500,3
b37c4c02bda3161a7546a4e6d222d5b2,15,0.00000,1.4000,3
4342d4b2ba6b161468c63a7e7cfce593,20,0.00000,1.2632,3
8bd0e3abda539b9479c4b44a691be1ec,13,0.00000,1.9286,3
8bdd8e3fd58bafa48af76b2c5fd71974,11,9.09091,4.5455,2
